Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Sri Lanka,0.01807228915662651,0.042168674698795185,0.060240963855421686,0.0023860534621761346,0.08902786719396671,0.014609748655480478
Nepal,0.012048192771084338,0.006024096385542169,0.01807228915662651,0.0,0.07672198226869742,0.005688703546406008
Vietnam,0.012048192771084338,0.0,0.012048192771084338,0.0,0.07175761871013465,0.0018530181514188407
Asia,0.024096385542168676,0.0,0.024096385542168676,0.0,0.11483772929556062,0.06294019541823821
Ireland,0.0,0.030120481927710843,0.030120481927710843,0.0,0.0,2.439143455421576e-12
Mauritius,0.012048192771084338,0.042168674698795185,0.05421686746987952,0.0020403416104401864,0.08390396116841467,0.008921050104440264
Australia,0.024096385542168676,0.04819277108433735,0.07228915662650603,0.01083690870959563,0.07827282283496403,0.006905272681205741
Bolivia,0.012048192771084338,0.006024096385542169,0.01807228915662651,0.00024464643303635634,0.11729610750695088,0.05508908101761282
the West,0.012048192771084338,0.0,0.012048192771084338,0.0,0.10516202742002492,0.042036216372592715
third world countries,0.006024096385542169,0.0,0.006024096385542169,0.0,0.10251088387162093,0.028307416359063066
Finland,0.0,0.006024096385542169,0.006024096385542169,0.0,0.0,2.439143455421576e-12
German Democratic Republic,0.024096385542168676,0.0,0.024096385542168676,0.0,0.12322015334063526,0.07938972810107373
non-alignment countries,0.006024096385542169,0.0,0.006024096385542169,0.0,0.10251088387162093,0.028307416359063066
least developing countries,0.01807228915662651,0.0,0.01807228915662651,0.0,0.08369326362051982,0.005316366624683494
Uruguay,0.0,0.01807228915662651,0.01807228915662651,0.0,0.0,2.439143455421576e-12
Antarctica,0.03614457831325302,0.0,0.03614457831325302,0.0,0.13405269429365815,0.07814654081082874
Poland,0.024096385542168676,0.042168674698795185,0.06626506024096386,0.0004747127036283664,0.1214859437751004,0.09512862018470138
Panama,0.012048192771084338,0.006024096385542169,0.01807228915662651,1.2169891687963977e-05,0.11729610750695088,0.05508908101761282
Slovakia,0.024096385542168676,0.0,0.024096385542168676,0.0,0.12707078313253012,0.10269131757229434
Austria,0.012048192771084338,0.01807228915662651,0.030120481927710843,0.00014766135248062959,0.10141435306443165,0.03399558633552077
Lithuania,0.006024096385542169,0.0,0.006024096385542169,0.0,0.10251088387162093,0.028307416359063066
Central America,0.012048192771084338,0.0,0.012048192771084338,0.0,0.10607647983237296,0.031010222233772082
Ukraine,0.012048192771084338,0.0,0.012048192771084338,0.0,0.12322015334063526,0.07002098889420497
Cyprus,0.006024096385542169,0.0,0.006024096385542169,0.0,0.0938368860055607,0.018977850740036887
Israel,0.01807228915662651,0.0,0.01807228915662651,0.0,0.12576077505899888,0.0889988396318027
